,filename, width, height,xmin,ymin,xmax,ymax,class
0,000000000036.jpg,640,481,0.0,50.12,457.68,480.47,umbrella
1,000000000036.jpg,640,481,167.58,162.89,478.19,628.08,umbrella
2,000000000042.jpg,478,640,214.15,41.29,562.41,285.07,dog
3,000000000061.jpg,488,640,261.2,205.92,309.28,263.16,elephant
4,000000000061.jpg,488,640,393.39,210.34,425.92,250.08,elephant
5,000000000061.jpg,488,640,370.11,248.9,453.2,296.54,elephant
6,000000000061.jpg,488,640,223.25,250.1,365.17,327.81,elephant
7,000000000061.jpg,488,640,261.54,196.57,295.75,250.75,elephant
8,000000000074.jpg,426,640,2.75,3.66,162.15,316.06,dog
9,000000000074.jpg,426,640,295.55,93.96,313.97,152.79,dog
10,000000000074.jpg,426,640,326.94,97.05,340.49,122.98,dog
11,000000000074.jpg,426,640,277.11,103.84,292.44,150.72,dog
12,000000000074.jpg,426,640,356.62,95.47,372.33,147.55,dog
13,000000000074.jpg,426,640,462.08,105.09,493.74,146.99,dog
14,000000000074.jpg,426,640,61.87,276.25,358.29,379.43,dog
15,000000000074.jpg,426,640,282.65,103.41,294.34,127.66,dog
16,000000000109.jpg,416,640,74.56,197.85,80.85,213.13,dog
17,000000000109.jpg,416,640,604.26,271.45,613.45,282.75,dog
18,000000000109.jpg,416,640,585.88,268.35,604.07,291.17,dog
19,000000000109.jpg,416,640,448.37,281.77,488.66,304.96,dog
20,000000000109.jpg,416,640,376.6,261.49,411.06,285.24,dog
21,000000000109.jpg,416,640,548.02,249.59,552.57,257.7,dog
22,000000000109.jpg,416,640,512.89,271.42,534.13,304.15,dog
23,000000000109.jpg,416,640,539.72,295.45,562.63,313.84,dog
24,000000000127.jpg,481,640,157.91,86.33,201.89,102.77,umbrella
25,000000000127.jpg,481,640,213.55,49.56,278.24,120.16,umbrella
26,000000000127.jpg,481,640,107.52,147.13,639.45,481.0,umbrella
27,000000000127.jpg,481,640,381.97,221.21,567.17,345.96,umbrella
28,000000000127.jpg,481,640,300.92,286.33,405.14,445.24,umbrella
29,000000000127.jpg,481,640,294.0,0.0,398.85,104.67,umbrella
30,000000000127.jpg,481,640,179.15,263.57,305.1,404.72,umbrella
31,000000000127.jpg,481,640,257.22,194.11,386.29,286.63,umbrella
32,000000000127.jpg,481,640,0.0,148.96,64.35,230.91,umbrella
33,000000000127.jpg,481,640,104.35,1.49,132.84,46.03,umbrella
34,000000000127.jpg,481,640,265.55,95.15,479.81,118.56,umbrella
35,000000000127.jpg,481,640,131.36,3.19,164.08,58.92,umbrella
36,000000000127.jpg,481,640,196.88,147.35,249.63,183.62,umbrella
37,000000000127.jpg,481,640,346.67,276.28,431.58,358.6,umbrella
38,000000000127.jpg,481,640,106.04,99.04,171.04,148.49,umbrella
39,000000000127.jpg,481,640,444.17,8.67,466.92,44.42,umbrella
40,000000000127.jpg,481,640,111.94,123.64,581.9,286.94,umbrella
41,000000000257.jpg,480,640,16.0,301.0,627.0,479.0,backpack
42,000000000257.jpg,480,640,306.74,360.16,319.25,373.93,backpack
43,000000000257.jpg,480,640,27.58,303.1,33.27,310.21,backpack
44,000000000257.jpg,480,640,28.93,276.6,34.75,288.36,backpack
45,000000000257.jpg,480,640,190.83,330.6,211.46,370.37,backpack
46,000000000257.jpg,480,640,227.37,296.5,238.67,307.89,backpack
47,000000000257.jpg,480,640,225.17,327.33,240.38,396.87,backpack
48,000000000257.jpg,480,640,208.47,340.87,219.77,360.45,backpack
49,000000000257.jpg,480,640,519.96,323.81,640.0,480.0,backpack
